on_street_name,danger_score
29th Road,1
29th Street,35
2nd Avenue,724
2nd Place,3
2nd Street,11
30th Avenue,67
30th Drive,6
30th Place,14
30th Road,5
30th Street,32
311A Leonard Street,1
31st Avenue,128
31st Drive,11
31st Place,3
31st Road,6
31st Street,143
324A Utica Avenue,1
326A 9th Street,1
32nd Avenue,68
32nd Place,5
32nd Street,12
339A Bainbridge Street,1
33rd Avenue,19
33rd Road,1
33rd Street,67
344B Maujer Street,1
34H Saint Marks Place,1
34th Avenue,157
34th Street,27
3555A White Plains Road,3
358E East 112th Street,1
35A Prospect Place,1
35th Avenue,103
35th Street,50
36th Avenue,35
36th Road,5
36th Street,40
37th Avenue,147
37th Road,2
37th Street,80
386B Chauncey Street,1
38th Avenue,47
38th Street,46
39A Gramercy Park North,1
39th Avenue,65
39th Place,1
39th Road,2
39th Street,108
3rd Avenue,1164
3rd Avenue Bridge,3
3rd Place,10
3rd Street,10
40th Avenue,24
40th Road,11
40th Street,50
41A Grand Street,1
41st Avenue,59
41st Road,5
41st Street,47
42nd Avenue,19
42nd Place,2
42nd Road,5
42nd Street,62
43rd Avenue,92
43rd Street,81
44th Avenue,14
44th Drive,13
44th Road,1
44th Street,64
45th Avenue,57
45th Drive,3
45th Road,5
45th Street,60
460N Brielle Avenue,1
46th Avenue,24
46th Road,5
46th Street,77
47th Avenue,38
47th Road,1
47th Street,68
48th Avenue,49
48th Street,89
49th Avenue,14
49th Lane,1
49th Street,77
4th Avenue,310
4th Place,3
4th Street,12
504B East 98th Street,1
50th Avenue,22
50th Street,54
5104A Post Road,1
51st Avenue,42
51st Road,2
51st Street,72
52nd Avenue,2
52nd Drive,2
52nd Road,2
52nd Street,42
530F Grand Street,1
535A 6th Avenue,1
53rd Avenue,9
53rd Place,1
53rd Street,33
545A Quincy Street,1
54th Avenue,13
54th Road,3
54th Street,37
55th Avenue,28
55th Drive,3
55th Road,3
55th Street,45
56th Avenue,16
56th Drive,5
56th Road,29
56th Street,42
57th Avenue,33
57th Drive,1
57th Road,6
57th Street,54
585A Lafayette Avenue,1
58th Avenue,18
58th Drive,1
58th Lane,2
58th Place,2
58th Road,14
58th Street,110
59th Avenue,17
59th Drive,5
59th Place,4
59th Road,2
59th Street,78
5th Avenue,667
5th Street,18
60th Avenue,12
60th Lane,1
60th Place,7
60th Road,2
60th Street,141
616A Macdonough Street,1
61st Avenue,9
61st Drive,1
61st Road,3
61st Street,60
62nd Avenue,5
62nd Drive,19
62nd Road,3
62nd Street,43
63rd Avenue,22
63rd Drive,29
63rd Road,12
63rd Street,32
64th Avenue,26
64th Circle,1
64th Place,1
64th Road,14
64th Street,73
65th Avenue,12
65th Place,33
65th Road,6
65th Street,256
66th Avenue,15
66th Place,2
66th Road,7
66th Street,72
67th Avenue,20
67th Drive,2
67th Place,2
67th Road,16
67th Street,43
68th Avenue,15
68th Drive,7
68th Place,1
68th Road,14
68th Street,56
69th Avenue,30
69th Place,5
69th Road,18
69th Street,114
6th Avenue,116
6th Street,21
70th Avenue,9
70th Road,15
70th Street,58
711C Seagirt Avenue,1
71st Avenue,47
71st Road,5
71st Street,52
72nd Avenue,18
72nd Drive,5
72nd Place,1
72nd Road,3
72nd Street,43
736A East 233rd Street,1
73B Visitation Place,1
73rd Avenue,63
73rd Place,9
73rd Street,47
74th Avenue,5
74th Street,62
75th Avenue,25
75th Road,3
75th Street,18
76th Avenue,12
76th Road,2
76th Street,67
77A Richmond Hill Road,1
77th Avenue,17
77th Road,7
77th Street,50
78th Avenue,26
78th Road,4
78th Street,102
79th Avenue,5
79th Lane,1
79th Street,71
7th Avenue,575
7th Avenue South,37
7th Street,16
80th Avenue,7
80th Road,4
80th Street,113
81st Avenue,32
81st Road,1
81st Street,91
82nd Avenue,22
82nd Drive,1
82nd Road,5
82nd Street,81
83rd Avenue,5
83rd Place,5
83rd Street,33
845A East 222nd Street,1
84th Avenue,5
84th Drive,4
84th Place,5
84th Road,3
84th Street,79
85th Avenue,31
85th Drive,1
85th Road,7
85th Street,85
860A Remsen Avenue,1
860A Willoughby Avenue,1
86th Avenue,21
86th Crescent,1
86th Road,5
86th Street,285
87th Avenue,10
87th Drive,3
87th Road,8
87th Street,18
88th Avenue,21
88th Lane,1
88th Street,56
89th Avenue,54
89th Street,40
8th Avenue,690
8th Street,22
